R_fighter,Avg_sig_strike_att,Avg_sig_strike_pct,Avg_TD_att,Avg_TD_landed,Avg_TD_pct,Avg_Total_strike_att,Avg_Total_strike_landed,R_Stance,Reach,Height,Winner
Marcin Tybura,1.3093604699435404,0.9372730903282023,5.850911458333333,3.1904296875,0.6441894531250001,1.9267644718896804,2.0240805756395996,Orthodox,0.9750000000000001,0.9740259740259741,Yes
Michel Pereira,8.148148148148149,1.0185185185185186,3.25,1.25,0.8,8.537037037037036,8.766666666666667,Orthodox,0.948051948051948,1.0138888888888888,Yes
Gillian Robertson,0.5645576131687243,1.3993749999999998,1.287109375,0.8255208333333334,0.5511695906432748,0.7509799651567944,1.0321969696969697,Orthodox,0.9264705882352942,0.9848484848484848,No
Christos Giagos,0.6887877747252747,1.0997023809523812,7.140625,3.140625,0.393125,0.7811706852791879,0.9475070224719101,Orthodox,0.9466666666666667,1,Yes
Renato Moicano,0.24769736842105264,0.5265168795620437,0.5625,0.8177083333333334,1.10390625,0.2588607594936709,0.21546743697478993,Orthodox,1.0140845070422535,1.0441176470588236,No
Kevin Holland,0.6485211690193623,1.630718159616869,0.4750216933184579,11.103713188220231,28.58616890271567,0.7938349586576825,0.9771566662774946,Orthodox,1.125,1.0273972602739727,Yes
Mackenzie Dern,2.4365671641791047,0.7958333333333332,0.36666666666666664,0.03125,0.012987012987012986,1.2207792207792207,0.6944444444444444,Orthodox,0.984375,1.0158730158730158,Yes
Tony Ferguson,5.012461911256961,0.8058795103585894,0.09202256203134289,0.022931982789181845,0.028754442826996934,4.565958392176315,3.3404238336265335,Orthodox,1.027027027027027,1.0142857142857142,No
Junior Dos Santos,0.3231721279667873,0.9285549765149947,0.011667887369791666,0.001678466796875,0.0049591064453125,0.3194662559055321,0.3195040676009703,Orthodox,0.9506172839506173,1,No
Gavin Tucker,1.3418141592920354,0.649621212121212,1.21875,1.0714285714285714,0.8103448275862067,0.9514925373134329,0.5845665961945031,Southpaw,0.9428571428571428,0.9428571428571428,Yes
Cub Swanson,3.2622861232288565,0.773659206081081,0.16982356333892618,0.05681895380434782,0.049523392699603,1.6344876657349854,1.0761144589085188,Orthodox,1.0144927536231885,1.0149253731343284,Yes
Chase Hooper,1.956140350877193,1.0375,1.25,0.5,0.165,1.2476635514018692,0.7132352941176471,Southpaw,1.0136986301369864,1.0428571428571427,Yes
Gabriel Benitez,1.969883110687023,0.7030409946236559,1.25,0.125,0.125,1.9581179511278195,1.4174299568965518,Southpaw,1.0441176470588236,1.0149253731343284,Yes
Roman Dolidze,0.171875,2.0476190476190474,0,0,0,0.14285714285714285,0.25333333333333335,Orthodox,1.0133333333333332,1.0136986301369864,Yes
Ilia Topuria,0.616822429906542,0.9512195121951219,3.4285714285714284,13.333333333333334,5.866666666666667,0.8872987477638641,0.8421052631578947,Orthodox,0.9718309859154929,0.943661971830986,Yes
